,Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Valor_m2_Barrio,Valor_m2_Millon
2341,Casa,Casa en venta en Zona Noroccidental,4,1,47,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 185.000.000,$,185000000,185.0,4.572008510026535,3.9361702127659575
2342,Apartamento,Apartamento en venta en Suba,3,2,63,Suba,Suba,$ 185.000.000,$,185000000,185.0,4.323720522957072,2.9365079365079363
2343,Apartamento,Apartamento en venta en Chico Navarra,4,5,359,Chico Navarra,USAQUÉN: Country Club + Santa Bárbara,$ 1.100.000.000,$,1100000000,1100.0,5.1563019620884605,3.064066852367688
2344,Apartamento,Apartamento en venta en Cedritos,4,3,117,Cedritos,Usaquén,$ 470.000.000,$,470000000,470.0,5.027419586695463,4.017094017094017
2345,Apartamento,Apartamento en venta en Suba,3,3,116,Suba,Suba,$ 720.000.000,$,720000000,720.0,4.323720522957072,6.206896551724138
2346,Casa,Casa en venta en Nicolas De Federman,5,4,340,Nicolas De Federman,Teusaquillo,$ 2.095.000.064,$,2095000064,2095.000064,5.992745920204822,6.161764894117646
2347,Apartamento,Apartamento en venta en Usaquén,1,2,55,Usaquén,Usaquén,$ 360.000.000,$,360000000,360.0,5.65558134903221,6.545454545454546
2348,Casa,Casa en venta en Santa Barbara,4,5,418,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 3.200.000.000,$,3200000000,3200.0,5.852628361947598,7.655502392344498
2349,Apartamento,Apartamento en venta en Barrios Unidos,2,2,69,Barrios Unidos,Los Andes,$ 420.000.000,$,420000000,420.0,2.9599171141243064,6.086956521739131
2350,Apartamento,Apartamento en venta en Barrios Unidos,3,2,56,Barrios Unidos,Los Andes,$ 230.000.000,$,230000000,230.0,2.9599171141243064,4.107142857142857
2351,Casa,Casa en venta en San Cristobal,3,2,69,San Cristobal,Sosiego,$ 233.000.000,$,233000000,233.0,2.9542168674698797,3.3768115942028984
